File,Analysis
A Cross-Cultural Assessment of Human Ability to De.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
A Framework for Designing Teleconsultation Systems.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
A national study of postdoctoral research fellows .pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
A Stochastic Investment Model for Actuarial Use in.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Acoustic Communication for Medical Nanorobots.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Analysis of various climate change parameters in I.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Between a rock and a hard place assessing the appl.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Cloud Computing Adoption Opportunities and Challen.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Clustering Residential Electricity Consumption Dat.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Communicating in the MediumbandWhat it is and Why .pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Correlation between tides and seismicity in Northw.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Cross-country comparisons of scientific performanc.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Effect of Internal Viscosity on Brownian Dynamics .pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
HIVAIDS in South Africa the beginning of the end.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
ICT in Universities of the Western Himalayan Regio.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Implementation of Firm-Dispatchable Generation in .pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Improved Text Language Identification for the Sout.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Improving Computer-Mediated Synchronous Communicat.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Limited containment options of COVID-19 outbreak r.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
MASWA GIRLS SS (2).pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Neural Machine Translation for South Africas Offic.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Opportunities of Reinforcement Learning in South A.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Optical Astronomy in Post-Apartheid South Africa 1.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Radio astronomy in Africa the case of Ghana.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Relationship between household attributes and cont.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Spatial analysis and prediction of COVID-19 spread.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Spatio-temporal insights for wind energy harvestin.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
The burden of HIV in a Public Hospital in Johannes.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
The impact of Electricity Blackouts and poor infra.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
The stochastic nature of power-grid frequency in S.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
Use of Available Data To Inform The COVID-19 Outbr.pdf,AI Error: model 'deepseek-r1:1.5b' not found (status code: 404)
